2024-11-27 22:11:15 INFO  LoginPageTests:45 - Setting up driver ...
2024-11-27 22:11:17 INFO  LoginPageTests:52 - Chrome browser initialized.
2024-11-27 22:11:17 INFO  LoginPageTests:67 - Driver setup complete ...
2024-11-27 22:11:17 INFO  LoginPageTests:26 - Login Page is Initialised
2024-11-27 22:11:18 INFO  ActionUtils:95 - Fetching title of page...
2024-11-27 22:11:18 INFO  LoginPage:76 - Expected page title: Login - HP Banking
2024-11-27 22:11:18 INFO  LoginPage:77 - Fetch page title: Login - HP Banking
2024-11-27 22:11:18 INFO  LoginPageTests:30 - Login Page is opened
2024-11-27 22:11:18 INFO  TestData:66 - Row 1 data: {Comment=Enter invalid username and incorrect password, UserName/Email=invalidUser, Password=wrongPassword123}
2024-11-27 22:11:18 INFO  TestData:66 - Row 2 data: {Comment=Enter valid username and incorrect password, UserName/Email=validUser, Password=123.0}
2024-11-27 22:11:18 INFO  TestData:66 - Row 3 data: {Comment=Enter invalid username and leave password field blank, UserName/Email=invalidUser, Password=}
2024-11-27 22:11:18 INFO  TestData:66 - Row 4 data: {Comment=Leave username field blank and enter valid password, UserName/Email=, Password=12345.0}
2024-11-27 22:11:18 INFO  TestData:66 - Row 5 data: {Comment=Leave both fields blank, UserName/Email=, Password=}
2024-11-27 22:11:18 INFO  TestData:66 - Row 6 data: {Comment=Enter special characters in username field, UserName/Email=!@#$%^&*(), Password=12345.0}
2024-11-27 22:11:18 INFO  TestData:66 - Row 7 data: {Comment=Enter invalid email without "@", UserName/Email=invalidemail.com, Password=12345.0}
2024-11-27 22:11:18 INFO  TestData:66 - Row 8 data: {Comment=Enter email without domain, UserName/Email=invalid@, Password=12345.0}
2024-11-27 22:11:18 INFO  TestData:66 - Row 9 data: {Comment=Enter valid email and blank password, UserName/Email=chaudhariminal09@gmail.com, Password=}
2024-11-27 22:11:18 INFO  TestData:66 - Row 10 data: {Comment=Enter invalid email and valid password, UserName/Email=invalidemail.com, Password=12345.0}
2024-11-27 22:11:18 INFO  TestData:66 - Row 11 data: {Comment=Enter email with spaces and valid password, UserName/Email=user @example.com, Password=12345.0}
2024-11-27 22:11:18 INFO  TestData:66 - Row 12 data: {Comment=Enter email with special characters and invalid password, UserName/Email=user@inv@lid.com, Password=wrongPass}
2024-11-27 22:11:18 INFO  LoginPageTests:56 - fetched username/email: invalidUser
2024-11-27 22:11:18 INFO  LoginPageTests:57 - fetched password: wrongPassword123
2024-11-27 22:11:19 INFO  LoginPage:67 - Sign In button clicked
2024-11-27 22:11:29 INFO  LoginPageTests:56 - fetched username/email: validUser
2024-11-27 22:11:29 INFO  LoginPageTests:57 - fetched password: 123.0
2024-11-27 22:11:29 INFO  LoginPage:67 - Sign In button clicked
2024-11-27 22:11:40 INFO  LoginPageTests:56 - fetched username/email: invalidUser
2024-11-27 22:11:40 INFO  LoginPageTests:57 - fetched password: 
2024-11-27 22:11:40 INFO  LoginPage:67 - Sign In button clicked
2024-11-27 22:11:50 INFO  LoginPageTests:56 - fetched username/email: 
2024-11-27 22:11:50 INFO  LoginPageTests:57 - fetched password: 12345.0
2024-11-27 22:11:51 INFO  LoginPage:67 - Sign In button clicked
2024-11-27 22:12:01 INFO  LoginPageTests:56 - fetched username/email: 
2024-11-27 22:12:01 INFO  LoginPageTests:57 - fetched password: 
2024-11-27 22:12:01 INFO  LoginPage:67 - Sign In button clicked
2024-11-27 22:12:11 INFO  LoginPageTests:56 - fetched username/email: !@#$%^&*()
2024-11-27 22:12:11 INFO  LoginPageTests:57 - fetched password: 12345.0
2024-11-27 22:12:12 INFO  LoginPage:67 - Sign In button clicked
2024-11-27 22:12:22 INFO  LoginPageTests:56 - fetched username/email: invalidemail.com
2024-11-27 22:12:22 INFO  LoginPageTests:57 - fetched password: 12345.0
2024-11-27 22:12:22 INFO  LoginPage:67 - Sign In button clicked
2024-11-27 22:12:32 INFO  LoginPageTests:56 - fetched username/email: invalid@
2024-11-27 22:12:32 INFO  LoginPageTests:57 - fetched password: 12345.0
2024-11-27 22:12:33 INFO  LoginPage:67 - Sign In button clicked
2024-11-27 22:12:43 INFO  LoginPageTests:56 - fetched username/email: chaudhariminal09@gmail.com
2024-11-27 22:12:43 INFO  LoginPageTests:57 - fetched password: 
2024-11-27 22:12:43 INFO  LoginPage:67 - Sign In button clicked
2024-11-27 22:12:53 INFO  LoginPageTests:56 - fetched username/email: invalidemail.com
2024-11-27 22:12:53 INFO  LoginPageTests:57 - fetched password: 12345.0
2024-11-27 22:12:54 INFO  LoginPage:67 - Sign In button clicked
2024-11-27 22:13:04 INFO  LoginPageTests:56 - fetched username/email: user @example.com
2024-11-27 22:13:04 INFO  LoginPageTests:57 - fetched password: 12345.0
2024-11-27 22:13:04 INFO  LoginPage:67 - Sign In button clicked
2024-11-27 22:13:14 INFO  LoginPageTests:56 - fetched username/email: user@inv@lid.com
2024-11-27 22:13:14 INFO  LoginPageTests:57 - fetched password: wrongPass
2024-11-27 22:13:14 INFO  LoginPage:67 - Sign In button clicked
2024-11-27 22:13:25 INFO  LoginPageTests:93 - Driver tear down complete ...
