2024-11-19 17:02:17 INFO  LoginPageTests:45 - Setting up driver ...
2024-11-19 17:02:18 INFO  LoginPageTests:52 - Chrome browser initialized.
2024-11-19 17:02:18 INFO  LoginPageTests:67 - Driver setup complete ...
2024-11-19 17:02:18 INFO  LoginPageTests:21 - Login Page is Initialised
2024-11-19 17:02:19 INFO  ActionUtils:95 - Fetching title of page...
2024-11-19 17:02:19 INFO  LoginPage:62 - Fetch page title: Login - HP Banking
2024-11-19 17:02:19 INFO  LoginPageTests:25 - Login Page is opened
2024-11-19 17:02:19 INFO  LoginPage:40 - Minal_Ch
2024-11-19 17:02:19 INFO  LoginPage:42 - 12345
2024-11-19 17:02:19 INFO  LoginPage:45 - Sign In button clicked
2024-11-19 17:02:19 INFO  ActionUtils:95 - Fetching title of page...
2024-11-19 17:02:19 INFO  LoginPage:76 - Fetch page title: Login - HP Banking
2024-11-19 17:02:19 INFO  LoginPageTests:92 - Driver tear down complete ...
